Data Source,World Development Indicators,,,,,,,,,,
,,,,,,,,,,,
Last Updated Date,3/28/24,,,,,,,,,,
,,,,,,,,,,,
Country Name,Country Code,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021
Morocco,MAR,Individuals using the Internet (% of population),56,56.8,57.07999935,58.27123642,61.76221201,64.80386519,84.12036305,84.12036305,88.13031937
Monaco,MCO,Individuals using the Internet (% of population),90.7,92.4,93.36330202,95.20817797,97.05297684,,83.33974409,84.70640914,86.09548575
Moldova,MDA,Individuals using the Internet (% of population),37.44,40.5,43.1,46.7,49.9,50.3,57.76048611,59.15294877,61.28776161
Madagascar,MDG,Individuals using the Internet (% of population),3,3.7,4.17397219,4.713662899,6.4,8.7,11.83136182,13.71677775,19.73016812
Maldives,MDV,Individuals using the Internet (% of population),44.1,49.28,54.46195515,59.5,65,70.9,77.46966424,77.58622488,85.76058262
Middle East & North Africa,MEA,Individuals using the Internet (% of population),35.15209147,40.07956257,44.3547505,48.40876465,54.88353483,60.22583848,67.3339173,72.78925747,77.37353454
Mexico,MEX,Individuals using the Internet (% of population),43.46,44.39,57.43104299,59.540446,53.03178861,56.6595668,69.63210927,71.49017499,75.62650476
Marshall Islands,MHL,Individuals using the Internet (% of population),14,16.8,19.2824418,29.78777936,38.70116262,,,,
Middle income,MIC,Individuals using the Internet (% of population),29.46582031,31.85083662,34.57714315,37.6551161,40.32006337,44.31240198,50.13792836,57.39157344,60.9014316
North Macedonia,MKD,Individuals using the Internet (% of population),65.24,68.06,70.38020308,72.15681447,74.51682418,79.16775519,81.41288276,81.40553811,83.01821027
Mali,MLI,Individuals using the Internet (% of population),3.5,7,10.33,14,18.9,21.4,22.31109004,27.85653831,34.49
Malta,MLT,Individuals using the Internet (% of population),68.9138,73.17,75.96001898,78.0751488,81.01191108,81.65804429,85.77859638,86.85876183,87.46977522
Myanmar,MMR,Individuals using the Internet (% of population),1.8,7.4,10.9,16,23.62108195,28.7,30.63536537,41.95429049,44.02167324
Middle East & North Africa (excluding high income),MNA,Individuals using the Internet (% of population),29.6976204,34.76315278,39.05315343,43.12756165,48.6307008,54.22378708,62.23337614,68.38757792,73.40081351
Montenegro,MNE,Individuals using the Internet (% of population),60.31,61,68.11978601,69.88164684,71.27233254,71.51710049,73.47666575,77.60879306,82.21969752
Mongolia,MNG,Individuals using the Internet (% of population),17.69998424,19.94244743,22.50000413,22.2657705,23.71426517,47.13000188,51.07999408,65.63058022,81.60682285
Northern Mariana Islands,MNP,Individuals using the Internet (% of population),,,,,,,,,
Mozambique,MOZ,Individuals using the Internet (% of population),5.5,6,6.5,7,7.796326608,10.9,14.63855268,16.31226657,17.37283681
Mauritania,MRT,Individuals using the Internet (% of population),6.2,11.8,17.6,24.1,24.2,35.1,42.32068274,53.51699827,58.75818983
Mauritius,MUS,Individuals using the Internet (% of population),40.11682514,44.80327537,50.13931848,52.19132594,55.4032403,58.5961697,61.72995515,64.88490358,67.58
Malawi,MWI,Individuals using the Internet (% of population),5.05,5.83,6,6.3,7,8,13.43919985,18.92676996,24.40560063
Malaysia,MYS,Individuals using the Internet (% of population),57.05751226,63.66542588,71.06406781,78.78830993,80.14047901,81.20104862,84.18714501,89.55501192,96.7514278
North America,NAC,Individuals using the Internet (% of population),72.82857988,74.40256842,76.08973908,86.10466159,87.81817184,89.11497116,89.6808051,90.79069484,91.86313227
Namibia,NAM,Individuals using the Internet (% of population),13.9,14.84,25.68785182,31.03334594,36.83740647,40,44.8268148,48.76420428,52.9734788
New Caledonia,NCL,Individuals using the Internet (% of population),66,70,74.00175279,,82.0058408,,,,
Niger,NER,Individuals using the Internet (% of population),1.15,1.248675689,2.476219975,4.32275803,10.22431156,,16.61190218,21.46379477,22.38613931
Nigeria,NGA,Individuals using the Internet (% of population),19.1,21,24.5,28.5,33.2,38.7,45.03137342,51.45837417,55.36371347
Nicaragua,NIC,Individuals using the Internet (% of population),15.5,17.6,19.7042915,24.57183396,30.4,37.6,44.91635601,53.4046527,57.14684935
Netherlands,NLD,Individuals using the Internet (% of population),93.9564,91.666666,91.72413793,90.4109589,93.19727891,91.89189189,93.2885906,91.33333333,92.05298013
Norway,NOR,Individuals using the Internet (% of population),95.0534,96.3,96.81032569,97.29820367,96.3576013,96.49165799,98.00000439,94.60755647,99.0000036
Nepal,NPL,Individuals using the Internet (% of population),13.3,15.44,17.58161801,20.7,24.3,28.6,34.80551799,45.84615896,51.63135772
Nauru,NRU,Individuals using the Internet (% of population),,,,,62.38512451,,74.73791894,76.6826512,83.93521594
New Zealand,NZL,Individuals using the Internet (% of population),82.78,84,85.2,86.5,87.7,89,89.86372003,92.8650738,95.91020269
OECD members,OED,Individuals using the Internet (% of population),71.52915613,73.13527038,75.67833892,79.85911688,80.51028525,82.39164923,84.77692599,86.2027303,87.38720083
